Year,AT,BE,BG,HR,CY,CZ,DK,FR,DE,IT,LU,NL,PL,PT,RO,SK,SI,ES,SE,CH,GB
2005,8,8,8,7,6,8,8,6,n.a.,8,8,8,7,7,8,8,7,8,8,8,8
2006,8,8,8,7,6,8,8,6,n.a.,8,8,8,7,7,8,8,7,8,8,8,8
2007,8,8,8,7,3,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8
2008,8,8,8,7,3,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8
2009,8,8,8,7,3,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8
2010,8,8,8,7,3,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8
2011,8,8,8,7,3,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8
2012,7,7,8,5,8,n.a.,8,8,8,8,8,8,7,7,8,8,8,8,n.a.,8,8
2013,7,7,8,5,8,n.a.,8,8,8,8,8,8,7,7,8,8,8,8,n.a.,8,8
2014,7,7,8,5,8,n.a.,8,8,8,8,8,8,7,7,8,8,8,8,n.a.,8,8
