Year,AT,BE,BG,HR,CY,CZ,DK,FR,DE,IT,LU,NL,PL,PT,RO,SK,SI,ES,SE,CH,GB
2005,n.a.,n.a.,0.5,n.a.,n.a.,n.a.,0.153846154,n.a.,n.a.,n.a.,n.a.,0,0,0,0.5,1,n.a.,0.125,0.0625,n.a.,n.a.
2006,n.a.,n.a.,0.5,n.a.,n.a.,n.a.,0.153846154,n.a.,n.a.,n.a.,n.a.,0,0,0,0.5,1,n.a.,0.125,0.0625,n.a.,n.a.
2007,0,0,n.a.,n.a.,n.a.,n.a.,0,0,0,0.131868132,n.a.,0,n.a.,0,n.a.,n.a.,n.a.,0,0,0.0625,n.a.
2008,0,0,n.a.,n.a.,n.a.,n.a.,0,0,0,0.131868132,n.a.,0,n.a.,0,n.a.,n.a.,n.a.,0,0,0.0625,n.a.
2009,0,0,n.a.,n.a.,n.a.,n.a.,0,0,0,0.131868132,n.a.,0,n.a.,0,n.a.,n.a.,n.a.,0,0,0.0625,n.a.
2010,0,0,n.a.,n.a.,n.a.,n.a.,0,0,0,0.131868132,n.a.,0,n.a.,0,n.a.,n.a.,n.a.,0,0,0.0625,n.a.
2011,0,0,n.a.,n.a.,n.a.,n.a.,0,0,0,0.131868132,n.a.,0,n.a.,0,n.a.,n.a.,n.a.,0,0,0.0625,n.a.
2012,n.a.,n.a.,1,0.869565217,0,n.a.,n.a.,0,n.a.,0.224137931,0,n.a.,1,0.027027027,0.666666667,0,0,0,n.a.,0.185185185,0
2013,n.a.,n.a.,1,0.869565217,0,n.a.,n.a.,0,n.a.,0.224137931,0,n.a.,1,0.027027027,0.666666667,0,0,0,n.a.,0.185185185,0
2014,n.a.,n.a.,1,0.869565217,0,n.a.,n.a.,0,n.a.,0.224137931,0,n.a.,1,0.027027027,0.666666667,0,0,0,n.a.,0.185185185,0
