Year,AT,BE,BG,CY,CZ,DE,DK,ES,FR,GB,HR,IT,LU,NL,PL,PT,RO,SE,SI,SK,CH
2014,36.84,65.8071,55.025,63.4043,61.338,32.3625,68.08,58.3,47.64,38.8508,72.2748,40.6518,31.95,85.0122,48.3138,69.23,54.2,58.5369,55.6131,70.6866,
2013,36.72,63.9853,49.8533,62.3394,62.8453,30.5924,68.38,54.4,46.74,43.6653,72.8516,39.5977,33.72,83.8272,45.2372,70.2613,54.4,58.2585,57.0844,70.3166,
2012,36.49,66.3492,50.3752,62.5036,61.4846,33.0053,65.6132,51.4,44.62,42.8163,73.9386,39.681,33.08,82.0688,44.3972,69.9483,54.7,57.4171,58.3545,70.721,
2011,38.38,70.7658,52.5771,60.7612,61.782,33.5458,66.3045,48.1,48.27,43.5487,n.a.,39.4649,31.21,83.5576,43.6871,70.7554,54.6,57.8145,59.3253,72.2274,
2010,35.87,74.8648,55.1688,64.1613,62.4969,32.5984,64.4233,44.3,47.4,42.5243,n.a.,39.8376,31.11,84.2003,43.3708,70.8641,52.7,57.7753,59.2733,72.03,
2009,37.24,77.1209,58.2897,64.8827,62.4033,25.0127,63.9879,43.3,47.21,40.7985,n.a.,30.9568,29.31,85.0837,43.9275,70.1484,52.4,60.6607,59.6544,72.09,
2008,39.01,80.8431,57.3142,63.8118,62.0521,22.7358,65.9644,42.4,51.16,37.5941,n.a.,31.1843,29.71,86.7323,44.2178,69.0969,54,61.8676,59.1372,71.55,
2007,42.83,83.4192,56.6906,64.8962,65.71,22.004,64.2314,41,51.84,41.3335,n.a.,33.051,30.58,86.33,46.6029,67.81,56.3,61.014,59.4819,68.152,
2006,43.78,84.3943,50.3398,63.9258,64.061,21.9909,64.6887,40.4,52.33,36.3924,n.a.,26.2386,31.54,85.07,46.1066,67.9279,60.1,57.7914,61.994,66.8522,
2005,45.04,85.2878,50.8463,59.7925,65.4883,21.6302,66.2664,42,51.87,36.2657,n.a.,26.8292,34.54,84.46,48.5072,68.7674,59.4,57.2574,63.0031,67.7262,
