Year,AT,BE,BG,CH,CY,CZ,DE,ES,FR,GB,HR,IT,LU,NL,PL,PT,RO,SK,SI,SE,DK
2005,314648.9864,387365.9993,29821.66254,407535.656,18270.00945,135990.216,2861410.272,1157276.458,2203678.647,2418941.818,45416.07668,1853512.452,36977.366,678533.7645,304410.1375,197304.5131,99697.56667,62493.02326,36346.97177,389042.2984,264559.5224
2006,334309.3715,409813.0724,34304.44815,429195.5912,19866.87848,155213.0061,3002446.368,1264551.499,2325011.918,2588077.277,50453.5779,1943530.342,41913.56166,726649.103,343261.472,208566.9489,123532.9299,70388.97002,39587.73052,420032.1217,282961.0883
2007,386458.9515,471821.7903,44765.73338,477407.8023,23716.0425,188818.1554,3439953.463,1479341.637,2663112.51,2969733.894,60093.15553,2204085.492,50323.15905,839419.6551,428762.9611,240169.3362,171536.7264,86072.41445,48114.68656,487816.3283,319500.3398
2008,427611.5278,518626.0437,54666.64273,551546.9627,27493.06474,235204.8126,3752365.607,1634989.014,2923465.651,2793376.838,70481.45181,2391875.541,55144.86597,936228.2115,530185.1237,262007.5904,208181.5872,100076.9679,55589.84913,513965.6507,352591.5537
2009,397594.2762,484552.6535,51783.45418,539528.2299,25593.2624,205729.7907,3418005.001,1499074.743,2693827.452,2314577.037,62703.09575,2186239.347,50386.49625,857932.7591,436476.395,243745.7488,167422.9495,88661.44068,50244.79022,429657.0331,319762.3533
2010,390235.0993,483577.4834,49939.16813,581211.7088,25247.42401,207015.8601,3417298.013,1431672.848,2646994.702,2403504.326,59680.62442,2126747.576,52351.65563,836439.7351,479242.5298,238317.6318,167998.0805,89254.49272,48016.46358,488379.3271,319810.992
2011,429010.6756,526975.2572,56949.83505,696311.672,27089.17465,227313.1629,3757464.554,1487924.659,2862502.085,2594904.663,62249.56536,2278089.157,58697.38671,893701.6959,528742.0683,244879.8693,185362.8551,97919.81651,51287.60078,563113.4211,341498.6868
2012,407373.0266,497780.0142,53576.67083,665408.3003,24940.60082,206441.5783,3539615.378,1339946.773,2681416.109,2630472.981,56485.30197,2074631.555,55986.71237,828946.8124,500227.852,216368.1787,172043.5673,93049.72168,46239.99212,543880.6478,322276.5445
2013,428698.5776,521402.3934,55626.35926,684919.2061,24057.25175,208328.4351,3745317.149,1369261.671,2810249.216,2712296.272,57770.88473,2133539.3,61794.50656,864169.243,524059.0394,226073.493,191587.2172,98033.84169,47675.80462,578742.0015,335877.5484
2014,436887.5435,531546.5862,56717.05467,701037.136,23226.15899,205269.7097,3868291.232,1381342.102,2829192.039,2988893.284,57113.38936,2141161.325,64873.9631,879319.3215,544966.5557,230116.9125,199043.6522,100248.6078,49491.44062,571090.4802,342362.4788
