Year,AT,BE,BG,CH,CY,CZ,DE,ES,FR,GB,HR,IT,LU,NL,PL,PT,RO,SK,SI,SE,DK
2005,0.087237688,0.063063925,n.a.,0.008833653,0.000162085,n.a.,0.397983167,0.043796423,1.089498186,1.494149895,0.002844439,0.196348956,n.a.,0.190374044,0.02802488,0.07668148,0.001678855,0.001560469,0.001355479,0.032420254,0.070317245
2006,0.105808382,0.060660453,0.000419515,0.008212326,0.000150167,n.a.,0.444753538,0.045161436,1.061849122,1.578581281,0.003139212,0.213847026,n.a.,0.207290514,0.024775227,0.089172383,0.001290327,0.001617676,0.001760692,0.032729328,0.080005025
2007,0.136139005,0.094902578,0.000442557,0.007854785,0.000784207,n.a.,0.503772479,0.053194196,1.190570338,1.690512358,0.005175609,0.26457101,n.a.,0.253803455,0.032089727,0.120558151,0.000536312,0.001809159,0.001805186,0.043912425,0.079006293
2008,0.16563616,0.096495623,0.000622122,0.008163065,0.002568735,n.a.,0.586861099,0.063116364,1.289760233,1.575806761,0.006315768,0.300126503,0.028301378,0.290296502,0.042788156,0.15842495,n.a.,0.002211194,0.001933901,0.053983171,0.075523046
2009,0.181752532,0.108389035,0.000897826,0.008522989,0.004071203,n.a.,0.531094989,0.059072175,1.429223578,1.571049078,0.005947898,0.325693088,0.048018588,0.332955149,0.035266282,0.166932843,n.a.,0.002159549,0.002382019,0.039708534,0.075796367
2010,0.190122176,0.118826062,0.000883524,0.013437196,0.003413327,n.a.,0.528796396,0.058569234,1.496853702,1.652710711,0.006256178,0.365007532,0.066342976,0.353497881,0.043180657,0.159274309,n.a.,0.002083274,0.003252831,0.029681488,0.076845949
2011,0.220197754,0.135226878,0.00082155,0.018708149,0.003611961,n.a.,0.427087821,0.06232739,1.657288828,1.798318204,0.00615845,0.390976152,0.07283672,0.367138478,0.053344364,0.178820694,n.a.,0.002218345,0.003355326,0.033279942,0.086063363
2012,0.215048365,0.139261532,0.000459242,0.022520333,0.004030682,n.a.,0.442466863,0.066109382,1.787803312,2.021254723,0.007423351,0.404754204,0.089344003,0.352294159,0.066753751,0.166106526,n.a.,0.001962504,0.003199597,0.037247856,0.098308755
2013,0.160296877,0.139096269,0.001454796,0.028018523,0.002299388,n.a.,0.53043314,0.080907618,1.928920086,2.017149355,0.010313874,0.48241932,0.091517854,0.321541636,0.077692925,0.161885155,n.a.,0.003847939,0.003302092,n.a.,0.104827129
2014,0.156627709,0.15863868,0.004191178,0.030797016,0.002813453,n.a.,0.518844036,0.092120907,2.079831902,1.834907389,0.00815353,0.531044933,0.082818477,0.305901192,0.096094382,0.146610197,n.a.,0.01310508,0.004257919,n.a.,0.112735942
